"","Compound ID","ESOL predicted log solubility in mols per litre","Minimum Degree","Molecular Weight","Number of H-Bond Donors","Number of Rings","Number of Rotatable Bonds","Polar Surface Area","measured log solubility in mols per litre","smiles","compound"
"583","5-methylcytosine",-0.257,1,125.131,2,1,0,71.77,-1.458,"Nc1c(C)c[nH]c(=O)n1","5-methylcytosine"
"584","2,3,4,5,6-PCB",-6.785,1,326.437,0,2,1,0,-7.92,"Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl","2,3,4,5,6-pcb"
"585","benodanil",-4.245,1,323.133,1,2,2,29.1,-4.21,"c1c(NC(=O)c2ccccc2(I))cccc1","benodanil"
"586","Riboflavin",-1.865,1,376.369,5,3,5,NA,-3.685,"Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C","riboflavin"
"587","o-Fluorobromobenzene",-3.467,1,175,0,1,0,0,-2.7,"Fc1ccccc1Br","o-fluorobromobenzene"
"588","2,4-Dichlorophenol",-3.22,1,163.003,1,1,0,20.23,-1.55,"Oc1ccc(Cl)cc1Cl","2,4-dichlorophenol"
"589","Permethrin",-7.129,1,391.294,0,3,6,35.53,-6.291,"CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2","permethrin"
"590","piroxicam",-3.473,1,331.353,2,3,2,99.6,-4.16,"CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3","piroxicam"
"591","3-Propanoyloxymethylphenytoin",-3.128,1,338.363,1,3,5,75.71,-4.907,"O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3","3-propanoyloxymethylphenytoin"
"592","Cyclopentane",-2.038,2,70.135,0,1,0,0,-2.64,"C1CCCC1","cyclopentane"
"593","o-Toluidine",-1.922,1,107.156,1,1,0,26.02,-2.21,"Cc1ccccc1N","o-toluidine"
"594","Estragole",-3.074,1,148.205,0,1,3,9.23,-2.92,"c1(OC)ccc(CC=C)cc1","estragole"
"595","karbutilate",-2.655,1,279.34,2,1,2,70.67,-2.93,"CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1","karbutilate"
"596","3-Methyl-1-Butene",-1.994,1,70.135,0,0,1,0,-2.73,"CC(C)C=C","3-methyl-1-butene"
"597","2-Hydroxypyridine",-1.655,1,95.101,1,1,0,33.12,1.02,"Oc1ccccn1","2-hydroxypyridine"
"598","Ethane",-1.132,1,30.07,0,0,0,0,-1.36,"CC","ethane"
"599","1,2-Dichlorobenzene",-3.482,1,147.004,0,1,0,0,-3.05,"Clc1ccccc1Cl","1,2-dichlorobenzene"
"600","mercaptobenzothiazole",-3.411,1,167.258,1,2,0,12.89,-3.18,"Sc2nc1ccccc1s2","mercaptobenzothiazole"
"601","2,2',3,3',4,4',5,5',6,6'-PCB",-9.589,1,498.662,0,2,1,0,-11.6,"Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl","2,2',3,3',4,4',5,5',6,6'-pcb"
"602","Methoxsalen",-3.25,1,216.192,0,3,1,52.58,-3.664,"COc2c1occc1cc3ccc(=O)oc23","methoxsalen"
"603","Acetamide",0.494,1,59.068,1,0,0,43.09,1.58,"CC(=O)N","acetamide"
"604","1-Methylnaphthalene",-3.802,1,142.201,0,2,0,0,-3.7,"Cc1cccc2ccccc12","1-methylnaphthalene"
"605","Napropamide",-4.088,1,271.36,0,2,5,29.54,-3.57,"CCN(CC)C(=O)C(C)Oc1cccc2ccccc12","napropamide"
"606","3,3-Dimethyl-2-butanol",-1.292,1,102.177,1,0,0,20.23,-0.62,"CC(O)C(C)(C)C","3,3-dimethyl-2-butanol"
"607","Methyl pentanoate",-1.545,1,116.16,0,0,3,26.3,-1.36,"CCCC(=O)OCC","methyl pentanoate"
"608","Menadione",-2.667,1,172.183,0,2,0,34.14,-3.03,"CC2=CC(=O)c1ccccc1C2=O","menadione"
"609","Phenanthrene",-4.518,2,178.234,0,3,0,0,-5.26,"c1ccc2c(c1)ccc3ccccc32","phenanthrene"
"610","2,4-Dimethylpyridine",-2.098,1,107.156,0,1,0,12.89,0.38,"Cc1ccnc(C)c1","2,4-dimethylpyridine"
"611","1-Nonanol",-2.46,1,144.258,1,0,7,20.23,-3.01,"CCCCCCCCCO","1-nonanol"
"612","Dibromomethane",-1.883,1,173.835,0,0,0,0,-1.17,"BrCBr","dibromomethane"
"613","Dexamethasone",-3.4,1,392.467,3,4,2,94.83,-3.59,"CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO","dexamethasone"
"614","2,6-Dimethylnaphthalene",-4.147,1,156.228,0,2,0,0,-4.89,"Cc1ccc2cc(C)ccc2c1","2,6-dimethylnaphthalene"
"615","Butylate",-3.453,1,217.378,0,0,5,20.31,-3.68,"CCSC(=O)N(CC(C)C)CC(C)C","butylate"
"616","nitroglycerin",-2.029,1,227.085,0,0,8,157.11,-2.22,"O=N(=O)OCC(CON(=O)=O)ON(=O)=O","nitroglycerin"
"617","m-Nitroaniline",-1.936,1,138.126,1,1,1,69.16,-2.19,"Nc1cccc(c1)N(=O)=O","m-nitroaniline"
"618","1-Chlorobutane",-1.94,1,92.569,0,0,2,0,-2.03,"CCCCCl","1-chlorobutane"
"619","triforine",-3.715,1,430.934,2,1,6,64.68,-4.19,"ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl","triforine"
"620","Fluridone",-4.249,1,329.321,0,3,2,22,-4.445,"Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F","fluridone"
"621","6-aminochrysene",-4.849,1,243.309,1,4,0,26.02,-6.2,"Nc3cc2c1ccccc1ccc2c4ccccc34","6-aminochrysene"
"622","Estrone",-3.872,1,270.372,1,4,0,37.3,-3.955,"CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O","estrone"
"623","RTI 17",-4.227,1,269.373,0,3,1,19.37,-4.706,"CCN2c1ccccc1N(C)C(=S)c3cccnc23","rti 17"
"624","1,2-Propylene oxide",-0.358,1,58.08,0,1,0,12.53,-0.59,"CC1CO1","1,2-propylene oxide"
"625","Nitrazepam",-3.473,1,281.271,1,3,2,84.6,-3.796,"O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O","nitrazepam"
"626","1,3-diethylthiourea",-1.028,1,132.232,2,0,2,24.06,-1.46,"CCNC(=S)NCC","1,3-diethylthiourea"
"627","2,3,5-Trichlorophenol",-3.78,1,197.448,1,1,0,20.23,-2.67,"Oc1cc(Cl)cc(Cl)c1Cl","2,3,5-trichlorophenol"
"628","Propyl propanoate",-1.545,1,116.16,0,0,3,26.3,-1.34,"CCCCC(=O)OC","propyl propanoate"
"629","Aniline",-1.632,1,93.129,1,1,0,26.02,-0.41,"Nc1ccccc1","aniline"
"630","1,5-Dimethlnapthalene",-4.147,1,156.228,0,2,0,0,-4.679,"Cc1cccc2c(C)cccc12","1,5-dimethlnapthalene"
"631","hydrochlorothiazide",-1.72,1,297.745,3,2,1,118.36,-2.63,"NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl","hydrochlorothiazide"
"632","Acenapthylene",-3.682,2,152.196,0,3,0,0,-3.96,"C1=Cc2cccc3cccc1c23","acenapthylene"
"633","Ethyl butyrate",-2.254,1,144.214,0,0,5,26.3,-1.28,"CCCCCOC(=O)CC","ethyl butyrate"
"634","Atratone",-3.185,1,211.269,2,1,5,71.96,-2.084,"CCNc1nc(NC(C)C)nc(OC)n1","atratone"
"635","Benzo(a)pyrene",-6.007,2,252.316,0,5,0,0,-8.699,"c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45","benzo(a)pyrene"
"636","Bromoethane",-1.529,1,108.966,0,0,0,0,-1.09,"CCBr","bromoethane"
"637","3-Hexyne",-1.933,1,82.146,0,0,0,0,-1.99,"CCC#CCC","3-hexyne"
"638","Digitoxin",-6.114,1,764.95,5,8,7,182.83,-5.293,"CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C","digitoxin"
"639","2-Methyl-1-Butene",-1.994,1,70.135,0,0,1,0,-2.73,"CCC(=C)C","2-methyl-1-butene"
"640","8-quinolinol",-2.725,1,145.161,1,2,0,33.12,-2.42,"Oc1cccc2cccnc12","8-quinolinol"
"641","1,2,3,4-Tetrahydronapthalene",-3.447,2,132.206,0,2,0,0,-4.37,"C1CCc2ccccc2C1","1,2,3,4-tetrahydronapthalene"
"642","phenolphthalein",-4.59,1,318.328,2,4,2,66.76,-2.9,"Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4","phenolphthalein"
"643","1,3,5-Tribromobenzene",-5.27,1,314.802,0,1,0,0,-5.6,"Brc1cc(Br)cc(Br)c1","1,3,5-tribromobenzene"
"644","Ronnel",-5.247,1,321.549,0,1,4,27.69,-5.72,"COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl","ronnel"
"645","methylthiouracil",-0.547,1,142.183,2,1,0,48.65,-2.436,"Cc1cc(=O)[nH]c(=S)[nH]1","methylthiouracil"
"646","Eugenol",-2.675,1,164.204,1,1,3,29.46,-1.56,"COc1cc(CC=C)ccc1O","eugenol"
"647","5-Allyl-5-isopropylbarbital",-1.706,1,210.233,2,1,3,75.27,-1.708,"O=C1NC(=O)NC(=O)C1(C(C)C)CC=C","5-allyl-5-isopropylbarbital"
"648","Pyrene",-4.957,2,202.256,0,4,0,0,-6.176,"c1cc2ccc3cccc4ccc(c1)c2c34","pyrene"
"649","1,1-Diethoxyethane",-0.899,1,118.176,0,0,4,18.46,-0.43,"CCOC(C)OCC","1,1-diethoxyethane"
"650","Clomazone",-3.077,1,239.702,0,2,2,29.54,-2.338,"CC1(C)CON(Cc2ccccc2Cl)C1=O","clomazone"
"651","2-Butoxyethanol",-0.775,1,118.176,1,0,5,29.46,-0.42,"CCCCOCCO","2-butoxyethanol"
"652","Quintozene",-5.098,1,295.336,0,1,1,43.14,-5.82,"Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl","quintozene"
"653","Androsterone",-3.882,1,290.447,1,4,0,37.3,-4.402,"CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O","androsterone"
"654","Flurochloridone",-4.749,1,312.118,0,2,2,20.31,-4.047,"FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O","flurochloridone"
"655","Quinoline",-2.663,2,129.162,0,2,0,12.89,-1.3,"c1ccc2ncccc2c1","quinoline"
"656","methyl gallate",-1.913,1,184.147,3,1,1,86.99,-1.24,"COC(=O)c1cc(O)c(O)c(O)c1","methyl gallate"
"657","fluconazole",-2.418,1,306.276,1,3,5,81.65,-1.8,"OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F","fluconazole"
"658","Chlorzoxazone",-2.679,1,169.567,1,2,0,46,-2.831,"Clc2ccc1oc(=O)[nH]c1c2","chlorzoxazone"
"659","2,2',3,4,4',5',6-PCB",-7.898,1,395.327,0,2,1,0,-7.92,"Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl","2,2',3,4,4',5',6-pcb"
"660","alloxan",0.436,1,142.07,2,1,0,92.34,-1.25,"O=C1NC(=O)C(=O)C(=O)N1","alloxan"
"661","1,3-Dichloropropane",-1.618,1,112.987,0,0,2,0,-1.62,"ClCCCCl","1,3-dichloropropane"
"662","m-Fluorobromobenzene",-3.467,1,175,0,1,0,0,-2.67,"Fc1cccc(Br)c1","m-fluorobromobenzene"
"663","p-Chlorobromobenzene",-3.928,1,191.455,0,1,0,0,-3.63,"Clc1ccc(Br)cc1","p-chlorobromobenzene"
"664","2,3-Dimethylbutane",-2.584,1,86.178,0,0,1,0,-3.65,"CC(C)C(C)C","2,3-dimethylbutane"
"665","1-Butene",-1.655,1,56.108,0,0,1,0,-1.94,"CCC=C","1-butene"
"666","2,2',3,4,5,5'-PCB",-7.343,1,360.882,0,2,1,0,-7.68,"Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl","2,2',3,4,5,5'-pcb"
"667","cytosine",0.051,1,111.104,2,1,0,71.77,-1.155,"Nc1cc[nH]c(=O)n1","cytosine"
"668","1,1,2-Trichlorotrifluoroethane",-3.077,1,187.375,0,0,1,0,-3.04,"FC(F)(Cl)C(F)(Cl)Cl","1,1,2-trichlorotrifluoroethane"
"669","Propionitrile",-0.269,1,55.08,0,0,0,23.79,0.28,"CCC#N","propionitrile"
"670","O,P'-DDD",-6.008,1,320.046,0,2,3,0,-6.51,"ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl","o,p'-ddd"
"671","o-Nitroanisole",-2.346,1,153.137,0,1,2,52.37,-1.96,"COc1ccccc1N(=O)=O","o-nitroanisole"
"672","Prasterone",-3.564,1,288.431,1,4,0,37.3,-4.12,"CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O","prasterone"
"673","Procymidone",-3.464,1,284.142,0,3,1,37.38,-4.8,"CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3","procymidone"
"674","Benzo[ghi]perylene",-6.446,2,276.338,0,6,0,0,-9.018,"c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56","benzo[ghi]perylene"
"675","Dinoseb",-3.715,1,240.215,1,1,4,106.51,-3.38,"CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O","dinoseb"
"676","meconin",-0.825,1,196.202,0,2,2,44.76,-1.899,"c1c(OC)c(OC)C2C(=O)OCC2c1","meconin"
"677","Glycerol",0.688,1,92.094,3,0,2,60.69,1.12,"OCC(O)CO","glycerol"
"678","Guaiacol",-1.941,1,124.139,1,1,1,29.46,-1.96,"COc1ccccc1O","guaiacol"
"679","chlorpyrifos",-4.972,1,350.591,0,1,6,40.58,-5.67,"CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl","chlorpyrifos"
"680","9-Methylanthracene",-4.87,1,192.261,0,3,0,0,-5.89,"Cc1c2ccccc2cc3ccccc13","9-methylanthracene"
"681","Antipyrene",-1.733,1,188.23,0,2,1,26.93,0.715,"Cc1cc(=O)n(c2ccccc2)n1C","antipyrene"
"682","Methyl butyl ether",-1.072,1,88.15,0,0,3,9.23,-0.99,"CCCCOC","methyl butyl ether"
"683","7-methylpteridine",-1.24,1,146.153,0,2,0,51.56,-0.854,"Cc2cnc1cncnc1n2","7-methylpteridine"
"684","simazine",-2.811,1,201.661,2,1,4,62.73,-4.55,"CCNc1nc(Cl)nc(NCC)n1","simazine"
"685","N,N-Dimethylacetamide",0.123,1,87.122,0,0,0,20.31,1.11,"CN(C)C(=O)C","n,n-dimethylacetamide"
"686","Simetryn",-2.689,1,213.31,0,1,3,45.15,-2.676,"CSc1nc(nc(n1)N(C)C)N(C)C","simetryn"
"687","Ethylene",-0.815,1,28.054,0,0,0,0,-0.4,"C=C","ethylene"
"688","3,3-Dimethyl-1-butanol",-1.365,1,102.177,1,0,1,20.23,-0.5,"CC(C)(C)CCO","3,3-dimethyl-1-butanol"
"689","5-Allyl-5-ethylbarbital",-1.368,1,196.206,2,1,3,75.27,-1.614,"O=C1NC(=O)NC(=O)C1(CC)CC=C","5-allyl-5-ethylbarbital"
"690","2,3,4-Trichlorophenol",-3.705,1,197.448,1,1,0,20.23,-2.67,"Oc1ccc(Cl)c(Cl)c1Cl","2,3,4-trichlorophenol"
"691","Anisole",-2.368,1,108.14,0,1,1,9.23,-1.85,"COc1ccccc1","anisole"
"692","chloropropylate",-5.093,1,339.218,1,2,4,46.53,-4.53,"c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C","chloropropylate"
"693","aldosterone",-3.066,1,360.45,2,4,3,91.67,-3.85,"CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O","aldosterone"
"694","Difenoxuron",-3.928,1,286.331,1,2,4,50.8,-4.16,"COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2","difenoxuron"
"695","4-Ethyltoluene",-3.328,1,120.195,0,1,1,0,-3.11,"CCc1ccc(C)cc1","4-ethyltoluene"
"696","Diisopropylsulfide",-2.162,1,118.245,0,0,2,0,-2.24,"CC(C)SC(C)C","diisopropylsulfide"
"697","1,3-Dinitrobenzene",-2.281,1,168.108,0,1,2,86.28,-2.29,"O=N(=O)c1cccc(c1)N(=O)=O","1,3-dinitrobenzene"
"698","Ethion",-5.471,1,384.487,0,0,12,36.92,-5.54,"CCOP(=S)(OCC)SCSP(=S)(OCC)OCC","ethion"
"699","probarbital",-1.603,1,198.222,2,1,2,75.27,-2.21,"CCC1(C(C)C)C(=O)NC(=O)NC1=O","probarbital"
"700","cortisone acetate",-3.426,1,402.487,1,4,3,97.74,-4.21,"CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C","cortisone acetate"
"701","Metronidazole",-0.859,1,171.156,1,1,3,81.19,-1.22,"Cc1ncc(N(=O)=O)n1CCO","metronidazole"
"702","p-Chloroaniline",-2.392,1,127.574,1,1,0,26.02,-1.66,"Nc1ccc(Cl)cc1","p-chloroaniline"
"703","2,2-Dimethylpentanol",-1.719,1,116.204,1,0,3,20.23,-1.52,"CCCC(C)(C)CO","2,2-dimethylpentanol"
"704","Furane",-1.837,2,68.075,0,1,0,13.14,-0.82,"c1ccoc1","furane"
"705","Methoproptryne",-3.259,1,271.39,2,1,8,71.96,-2.928,"COCCCNc1nc(NC(C)C)nc(SC)n1","methoproptryne"
"706","Norea",-2.47,1,222.332,1,3,1,32.34,-3.171,"CN(C)C(=O)NC1CC2CC1C3CCCC23","norea"
"707","t-Butylbenzene",-3.554,1,134.222,0,1,0,0,-3.66,"CC(C)(C)c1ccccc1","t-butylbenzene"
"708","kebuzone",-2.645,1,322.364,0,3,5,57.69,-3.27,"CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3","kebuzone"
"709","prednisolone acetate",-3.507,1,402.487,2,4,3,100.9,-4.37,"CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C","prednisolone acetate"
"710","Methyl propyl ether",-0.718,1,74.123,0,0,2,9.23,-0.39,"CCCOC","methyl propyl ether"
"711","Isopropyl acetate",-1.191,1,102.133,0,0,1,26.3,-0.55,"CC(C)OC(=O)C","isopropyl acetate"
"712","Bromobenzene",-3.345,1,157.01,0,1,0,0,-2.55,"Brc1ccccc1","bromobenzene"
"713","Ethyl-p-hydroxybenzoate",-2.761,1,166.176,1,1,2,46.53,-2.35,"CCOC(=O)c1ccc(O)cc1","ethyl-p-hydroxybenzoate"
"714","3-Butanoyloxymethylphenytoin",-3.469,1,352.39,1,3,6,75.71,-5.071,"O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3","3-butanoyloxymethylphenytoin"
"715","testosterone propionate",-4.87,1,344.495,0,4,2,43.37,-5.37,"CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C","testosterone propionate"
"716","Coronene",-6.885,2,300.36,0,7,0,0,-9.332,"c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67","coronene"
"717","allopurinol",-0.84,1,136.114,2,2,0,74.43,-2.266,"O=c1[nH]cnc2[nH]ncc12","allopurinol"
"718","Chloroethylene",-1.188,1,62.499,0,0,0,0,-1.75,"ClC=C","chloroethylene"
"719","diphenamid",-3.147,1,239.318,0,2,3,20.31,-2.98,"CN(C)C(=O)C(c1ccccc1)c2ccccc2","diphenamid"
"720","Tetrabromomethane",-4.063,1,331.627,0,0,0,0,-3.14,"BrC(Br)(Br)Br","tetrabromomethane"
"721","RTI 22",-4.408,1,296.374,1,3,2,48.47,-4.871,"CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23","rti 22"
"722","phthalimide",-1.882,1,147.133,1,2,0,46.17,-2.61,"O=C1NC(=O)c2ccccc12","phthalimide"
"723","Fenarimol",-4.108,1,331.202,1,3,3,46.01,-4.38,"OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl","fenarimol"
"724","Methyl benzoate",-2.462,1,136.15,0,1,1,26.3,-1.85,"COC(=O)c1ccccc1","methyl benzoate"
"725","1-methyluracil",-0.375,1,126.115,1,1,0,54.86,-0.807,"Cn1ccc(=O)[nH]c1=O","1-methyluracil"
"726","oxyphenbutazone",-3.739,1,324.38,1,3,5,60.85,-3.73,"CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3","oxyphenbutazone"
"727","2,2',3,5'-PCB",-6.155,1,291.992,0,2,1,0,-6.47,"Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl","2,2',3,5'-pcb"
"728","Quinethazone",-2.184,1,289.744,3,2,2,101.29,-3.29,"CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O","quinethazone"
"729","Diuron",-3.301,1,233.098,1,1,1,32.34,-3.8,"CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1","diuron"
"730","Cyclopentene",-1.72,2,68.119,0,1,0,0,-2.1,"C1CC=CC1","cyclopentene"
"731","alloxantin",0.919,1,286.156,6,2,1,191,-1.99,"C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O)","alloxantin"
"732","Nonane",-3.678,1,128.259,0,0,6,0,-5.88,"CCCCCCCCC","nonane"
"733","2-Chlorophenol",-2.553,1,128.558,1,1,0,20.23,-1.06,"Oc1ccccc1Cl","2-chlorophenol"
"734","5-Methylchrysene",-5.931,1,242.321,0,4,0,0,-6.59,"c1cccc2c3c(C)cc4ccccc4c3ccc12","5-methylchrysene"
"735","Phenetole",-2.66,1,122.167,0,1,2,9.23,-2.33,"CCOc1ccccc1","phenetole"
"736","ethyl cinnamate",-3.098,1,176.215,0,1,3,26.3,-3,"CCOC(=O)C=Cc1ccccc1","ethyl cinnamate"
"737","Terbacil",-3.033,1,216.668,1,1,0,54.86,-2.484,"Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C","terbacil"
"738","Clonazepam",-3.707,1,315.716,1,3,2,84.6,-3.499,"Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O","clonazepam"
"739","p-Toluenesulfonamide",-1.815,1,171.221,1,1,1,60.16,-1.74,"Cc1ccc(cc1)S(=O)(=O)N","p-toluenesulfonamide"
"740","Chlorbufam",-3.629,1,223.659,1,1,2,38.33,-2.617,"CC(OC(=O)Nc1cccc(Cl)c1)C#C","chlorbufam"
"741","2-Methylheptane",-3.308,1,114.232,0,0,4,0,-5.08,"CCCCCC(C)C","2-methylheptane"
"742","Cyhalothrin",-6.905,1,449.856,0,3,6,59.32,-8.176,"CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2","cyhalothrin"
"743","Apazone",-2.9,1,300.362,0,NA,2,56.22,-3.538,"CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C","apazone"
"744","Diazepam",-4.05,1,284.746,0,3,1,32.67,-3.754,"CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23","diazepam"
"745","2-Methyl-3-pentanol",-1.308,1,102.177,1,0,2,20.23,-0.7,"CCC(O)C(C)C","2-methyl-3-pentanol"
"746","fensulfothion",-3.283,1,308.361,0,1,7,44.76,-2.3,"CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O","fensulfothion"
"747","Testosterone",-3.659,1,288.431,1,4,0,37.3,-4.02,"CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O","testosterone"
"748","Heptane",-2.97,1,100.205,0,0,4,0,-4.53,"CCCCCCC","heptane"
"749","1-Napthol",-3.08,1,144.173,1,2,0,20.23,-2.22,"Oc1cccc2ccccc12","1-napthol"
"750","cis-1,2-Dimethylcyclohexane",-3.305,1,112.216,0,1,0,0,-4.3,"C/C1CCCCC1\C","cis-1,2-dimethylcyclohexane"
"751","Trimazosin",-3.958,1,435.481,2,3,6,132.5,-3.638,"COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O","trimazosin"
"752","Cholanthrene",-5.942,2,254.332,0,5,0,0,-7.85,"C1Cc2c3c1cccc3cc4c2ccc5ccccc54","cholanthrene"
"753","Medrogestone",-4.593,1,340.507,0,4,1,34.14,-5.27,"CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C","medrogestone"
"754","2-Heptanone",-1.554,1,114.188,0,0,4,17.07,-1.45,"CCCCCC(=O)C","2-heptanone"
"755","Acephate",-0.416,1,183.169,1,0,3,55.4,0.54,"COP(=O)(NC(C)=O)SC","acephate"
"756","DEF",-4.074,1,314.522,0,0,12,17.07,-5.14,"CCCCSP(=O)(SCCCC)SCCCC","def"
"757","phthalamide",-0.636,1,149.149,1,2,0,46.17,-2.932,"c1cC2C(=O)NC(=O)C2cc1","phthalamide"
"758","Trichlomethiazide",-2.98,1,380.662,3,2,2,118.36,-2.68,"NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl","trichlomethiazide"
"759","2-Methy-2-Butene",-1.994,1,70.135,0,0,0,0,-2.56,"CC=C(C)C","2-methy-2-butene"
"760","1,2,4-Trimethylbenzene",-3.343,1,120.195,0,1,0,0,-3.31,"Cc1ccc(C)c(C)c1","1,2,4-trimethylbenzene"
"761","2,4,5-Trichlorophenol",-3.78,1,197.448,1,1,0,20.23,-2.21,"Oc1cc(Cl)c(Cl)cc1Cl","2,4,5-trichlorophenol"
"762","phenanthridine",-3.713,2,179.222,0,3,0,12.89,-2.78,"c1ccc2c(c1)cnc3ccccc23","phenanthridine"
"763","3-Methyl-3-hexanol",-1.663,1,116.204,1,0,3,20.23,-0.98,"CCCC(C)(O)CC","3-methyl-3-hexanol"
"764","Octane",-3.324,1,114.232,0,0,5,0,-5.24,"CCCCCCCC","octane"
"765","Anthracene",-4.518,2,178.234,0,3,0,0,-6.35,"c1ccc2cc3ccccc3cc2c1","anthracene"
"766","Phenylhydrazine",-1.866,1,108.144,2,1,1,38.05,0.07,"NNc1ccccc1","phenylhydrazine"
"767","Propionaldehyde",-0.394,1,58.08,0,0,1,17.07,0.58,"CCC=O","propionaldehyde"
"768","Cyclooctane",-3.355,2,112.216,0,1,0,0,-4.15,"C1CCCCCCC1","cyclooctane"
"769","5,5-Diallylbarbital",-1.471,1,208.217,2,1,4,75.27,-2.077,"O=C1NC(=O)NC(=O)C1(CC=C)CC=C","5,5-diallylbarbital"
"770","Trichloromethane",-1.812,1,119.378,0,0,0,0,-1.17,"ClC(Cl)Cl","trichloromethane"
"771","thiouracil",-0.992,1,128.156,2,1,0,45.75,-2.273,"Sc1nccc(=O)[nH]1","thiouracil"
"772","Pencycuron",-5.126,1,328.843,1,3,4,32.34,-5.915,"Clc1ccc(CN(C2CCCC2)C(=O)Nc3ccccc3)cc1","pencycuron"
"773","1-Methylcyclohexene",-2.574,1,96.173,0,1,0,0,-3.27,"CC1=CCCCC1","1-methylcyclohexene"
"774","2-Ethylhexanal",-2.232,1,128.215,0,0,5,17.07,-2.13,"CCCCC(CC)C=O","2-ethylhexanal"
"775","Khellin",-3.603,1,260.245,0,3,2,61.81,-3.021,"COc2c1occc1c(OC)c3c(=O)cc(C)oc23","khellin"
